,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
52,52,19.667585372924805,2022-11-12 09:05:50.935487,2022-11-12 09:27:37.686680,0 days 00:21:46.751193,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0017092976935838375,medium,0.05077702608254247,ornstein-uhlenbeck,0.05,4,PRUNED
53,53,-5517.7080078125,2022-11-12 09:27:37.686680,2022-11-12 09:49:09.170136,0 days 00:21:31.483456,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0036203970008235734,medium,0.08548264816030994,ornstein-uhlenbeck,0.05,4,PRUNED
54,54,2266.468505859375,2022-11-12 09:49:09.178177,2022-11-12 10:11:22.875994,0 days 00:22:13.697817,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0003019359348379561,medium,0.24749919111489807,normal,0.05,4,PRUNED
55,55,-217.69125366210938,2022-11-12 10:11:22.875994,2022-11-12 10:25:56.350453,0 days 00:14:33.474459,<class 'torch.nn.modules.activation.ELU'>,32,100000,0.9999,0.002802826970954476,big,0.19257661806871337,ornstein-uhlenbeck,0.001,4,PRUNED
56,56,3823.705078125,2022-11-12 10:25:56.350453,2022-11-12 11:55:30.678270,0 days 01:29:34.327817,<class 'torch.nn.modules.activation.Tanh'>,256,100000,0.98,0.005235693945137773,medium,0.14749002826329233,ornstein-uhlenbeck,0.005,64,COMPLETE
57,57,4188.9736328125,2022-11-12 11:55:30.678270,2022-11-12 14:15:48.055625,0 days 02:20:17.377355,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.99,0.0006390937989244045,medium,0.0012122584131734333,ornstein-uhlenbeck,0.08,4,COMPLETE
58,58,2636.85009765625,2022-11-12 14:15:48.055625,2022-11-12 14:30:56.095303,0 days 00:15:08.039678,<class 'torch.nn.modules.activation.ELU'>,128,10000,0.99,0.0006644708542274965,medium,0.03489666173808425,ornstein-uhlenbeck,0.08,32,PRUNED
59,59,-5526.09521484375,2022-11-12 14:30:56.097343,2022-11-12 15:08:21.318659,0 days 00:37:25.221316,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.99,0.06751004984746495,medium,0.0037182356015433454,normal,0.08,256,PRUNED
60,60,-1715.71630859375,2022-11-12 15:08:21.318659,2022-11-12 15:25:08.493304,0 days 00:16:47.174645,<class 'torch.nn.modules.activation.Tanh'>,512,10000,0.95,0.00022835248452195543,big,0.13795280331545492,ornstein-uhlenbeck,0.08,4,PRUNED
61,61,-3818.688232421875,2022-11-12 15:25:08.495340,2022-11-12 15:46:51.452021,0 days 00:21:42.956681,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.99,0.0012666553801310874,medium,0.08757885455387819,ornstein-uhlenbeck,0.08,4,PRUNED
