,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
55,55,-228.73110961914062,2022-10-21 07:39:39.508971,2022-10-21 07:53:51.462475,0 days 00:14:11.953504,elu,16,0.3,0.0019727676223767025,0.92,0.995,0.005121916249430744,-0.2009410914459493,0.7,5,32,small,False,64,0.6805489288611567,PRUNED
56,56,256.4991760253906,2022-10-21 07:53:51.462475,2022-10-21 08:08:32.597566,0 days 00:14:41.135091,tanh,256,0.2,0.006995587725525408,1.0,0.9,0.12437298194891014,0.2654075420424765,0.3,20,64,big,False,8,0.2892329473937668,PRUNED
57,57,120.24022674560547,2022-10-21 08:08:32.599607,2022-10-21 09:35:30.141063,0 days 01:26:57.541456,tanh,32,0.1,0.06537632947862805,0.9,0.999,0.0010093663160411946,0.46062115698327694,0.8,10,16,small,True,256,0.5727089385286976,COMPLETE
58,58,-465.26165771484375,2022-10-21 09:35:30.141063,2022-10-21 09:49:45.907529,0 days 00:14:15.766466,elu,16,0.3,3.3764992736958765e-06,0.92,0.95,0.0004587280022366738,-2.920702986017459,0.5,5,256,medium,False,64,0.6267105614747676,PRUNED
59,59,-11038.931640625,2022-10-21 09:49:45.915569,2022-10-21 10:03:13.388133,0 days 00:13:27.472564,relu,256,0.4,0.00012256847419180554,0.99,0.9999,0.019856757674223152,-1.3329282619895424,2.0,1,8,small,True,32,0.45073324915618906,PRUNED
60,60,-601.60595703125,2022-10-21 10:03:13.388133,2022-10-21 10:19:29.160414,0 days 00:16:15.772281,tanh,8,0.1,0.0007106387744590528,0.98,0.99,0.00012795413780384348,-0.0054047713147390986,5.0,10,1024,big,False,16,0.7058921039865063,PRUNED
61,61,522.4550170898438,2022-10-21 10:19:29.160414,2022-10-21 10:41:23.704000,0 days 00:21:54.543586,elu,16,0.3,0.027239378914375206,1.0,0.9999,6.185846167702131e-05,0.7317112618315752,2.0,20,8,big,True,16,0.7612203433229517,PRUNED
62,62,596.31982421875,2022-10-21 10:41:23.712047,2022-10-21 11:03:28.500830,0 days 00:22:04.788783,elu,16,0.3,0.029955746233208572,1.0,0.9999,0.00015099228436150694,0.34889998294109564,2.0,20,8,big,True,16,0.7954792995728694,PRUNED
63,63,2669.05078125,2022-10-21 11:03:28.500830,2022-10-21 13:16:30.078689,0 days 02:13:01.577859,elu,16,0.3,0.013311935774764513,1.0,0.9999,7.47289133504749e-05,0.5642452661016694,2.0,20,8,big,True,16,0.8504080475513882,COMPLETE
64,64,-717.4063110351562,2022-10-21 13:16:30.078689,2022-10-21 13:38:52.462455,0 days 00:22:22.383766,elu,16,0.3,0.07253854484349982,1.0,0.9999,3.0075845660952417e-05,-3.8217419052753376,0.6,20,8,big,True,16,0.7869785714078144,PRUNED
65,65,-447.0882263183594,2022-10-21 13:38:52.462455,2022-10-21 13:54:46.542694,0 days 00:15:54.080239,elu,16,0.3,0.05340125759011548,0.92,0.999,2.1757976254360093e-05,0.8265474973198457,2.0,20,2048,big,True,64,0.7287661625427972,PRUNED
66,66,459.66766357421875,2022-10-21 13:54:46.542694,2022-10-21 14:37:01.719558,0 days 00:42:15.176864,tanh,32,0.2,2.6853599550141214e-08,0.95,0.98,0.010413072038809191,0.20685600546147487,2.0,20,16,medium,True,256,0.642864059163641,PRUNED
