,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_ent_coef,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
64,64,-3218.6767578125,2022-11-15 23:11:18.305980,2022-11-15 23:27:01.253468,0 days 00:15:42.947488,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,10000,0.1,0.999,0.0009532967586988877,0,-1.355520891135655,small,0.005,16,PRUNED
65,65,-2024.662109375,2022-11-15 23:27:01.253468,2022-11-15 23:41:41.203135,0 days 00:14:39.949667,<class 'torch.nn.modules.activation.ReLU'>,32,10000,0.5,0.9,0.0021504975306225,1000,-0.419730326417633,medium,0.08,256,PRUNED
66,66,-2439.92431640625,2022-11-15 23:41:41.203135,2022-11-15 23:55:47.735276,0 days 00:14:06.532141,<class 'torch.nn.modules.activation.Tanh'>,64,100000,0.0001,0.995,0.007204250478685324,20000,0.1109447968986731,big,0.05,512,PRUNED
67,67,-3838.11669921875,2022-11-15 23:55:47.735276,2022-11-16 00:10:58.430825,0 days 00:15:10.695549,<class 'torch.nn.modules.activation.ReLU'>,256,10000,0.01,0.999,0.012903920135616948,10000,-1.0300707134207965,medium,0.02,4,PRUNED
68,68,-3661.916259765625,2022-11-16 00:10:58.432861,2022-11-16 00:28:42.436827,0 days 00:17:44.003966,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.5,0.9999,0.0002849531562478679,0,0.5225143028921191,medium,0.01,32,PRUNED
69,69,650.8555297851562,2022-11-16 00:28:42.438866,2022-11-16 00:45:07.923580,0 days 00:16:25.484714,<class 'torch.nn.modules.activation.Tanh'>,2048,10000,0.0001,0.95,0.00452369306279706,1000,0.9842870780750169,small,0.001,64,PRUNED
70,70,1904.576416015625,2022-11-16 00:45:07.931629,2022-11-16 00:59:16.402179,0 days 00:14:08.470550,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.05,0.9,0.0025320899442200953,20000,-0.79277649155009,medium,0.08,128,PRUNED
71,71,-3804.9912109375,2022-11-16 00:59:16.402179,2022-11-16 01:31:30.723889,0 days 00:32:14.321710,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.0001,0.99,3.0256085971914314e-05,10000,-3.2793801261395363,big,0.01,16,PRUNED
72,72,-786.3412475585938,2022-11-16 01:31:30.723889,2022-11-16 01:47:03.385650,0 days 00:15:32.661761,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.0001,0.99,1.7737074514937165e-05,10000,-3.4358862660743617,big,0.01,16,PRUNED
73,73,-1404.54296875,2022-11-16 01:47:03.385650,2022-11-16 02:02:47.651035,0 days 00:15:44.265385,<class 'torch.nn.modules.activation.ELU'>,128,100000,0.0001,0.99,1.7829447669828584e-05,10000,-3.5977381104893436,big,0.01,16,PRUNED
74,74,425.08258056640625,2022-11-16 02:02:47.659114,2022-11-16 03:31:01.153626,0 days 01:28:13.494512,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.0001,0.995,6.598409447107476e-05,10000,-2.9125674722436377,big,0.01,512,COMPLETE
75,75,-315.12188720703125,2022-11-16 03:31:01.153626,2022-11-16 03:45:33.265885,0 days 00:14:32.112259,<class 'torch.nn.modules.activation.ELU'>,64,10000,0.5,0.99,0.0001311692639819811,10000,-0.06616094082231644,medium,0.005,4,PRUNED
76,76,-1486.8731689453125,2022-11-16 03:45:33.267934,2022-11-16 04:18:10.572868,0 days 00:32:37.304934,<class 'torch.nn.modules.activation.Tanh'>,2048,100000,0.0001,0.98,0.982521529237572,1000,-1.2309674969983788,big,0.08,1,PRUNED
77,77,-103.81000518798828,2022-11-16 04:18:10.574900,2022-11-16 04:32:23.288691,0 days 00:14:12.713791,<class 'torch.nn.modules.activation.ReLU'>,128,10000,auto,0.999,0.001736114521574324,20000,-0.5250222363900212,medium,0.05,16,PRUNED
78,78,-4095.18408203125,2022-11-16 04:32:23.296751,2022-11-16 04:46:58.701262,0 days 00:14:35.404511,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.1,0.9,0.0009892696966683327,1000,0.42694225660957175,medium,0.001,8,PRUNED
79,79,-2825.135009765625,2022-11-16 04:46:58.701262,2022-11-16 05:01:32.174574,0 days 00:14:33.473312,<class 'torch.nn.modules.activation.ReLU'>,16,10000,0.0001,0.9999,0.10683108840964937,10000,0.7970338857125265,medium,0.01,4,PRUNED
80,80,1137.748291015625,2022-11-16 05:01:32.174574,2022-11-16 05:31:27.240160,0 days 00:29:55.065586,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,10000,0.5,0.995,5.539044415983091e-05,20000,-2.2606885115674986,small,0.08,512,PRUNED
81,81,-2937.390625,2022-11-16 05:31:27.240160,2022-11-16 05:45:47.440227,0 days 00:14:20.200067,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.0001,0.995,5.985731089282859e-05,10000,-2.8572541169226504,big,0.01,512,PRUNED
82,82,2077.42822265625,2022-11-16 05:45:47.440227,2022-11-16 06:00:06.230474,0 days 00:14:18.790247,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.0001,0.995,2.530155735609993e-05,10000,-3.0294219463450225,big,0.01,512,PRUNED
83,83,-3480.33642578125,2022-11-16 06:00:06.230474,2022-11-16 06:14:34.308091,0 days 00:14:28.077617,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.0001,0.995,0.0002385748089644318,10000,-3.690934987011573,big,0.01,512,PRUNED
84,84,-2465.67333984375,2022-11-16 06:14:34.310122,2022-11-16 06:28:47.352631,0 days 00:14:13.042509,<class 'torch.nn.modules.activation.ELU'>,16,100000,0.0001,0.995,0.0005413299421785525,10000,-3.1545316401094623,big,0.01,512,PRUNED
85,85,507.8648681640625,2022-11-16 06:28:47.354667,2022-11-16 06:56:58.040024,0 days 00:28:10.685357,<class 'torch.nn.modules.activation.ELU'>,512,100000,0.0001,0.95,0.032723110303524774,10000,-2.4795495380164665,big,0.01,16,PRUNED
86,86,-1879.1875,2022-11-16 06:56:58.048065,2022-11-16 07:14:45.545750,0 days 00:17:47.497685,<class 'torch.nn.modules.activation.ReLU'>,256,1000000,0.01,0.9,0.6030143022621768,0,0.5913699780260613,big,0.05,64,PRUNED
87,87,-3225.03955078125,2022-11-16 07:14:45.545750,2022-11-16 07:29:04.478781,0 days 00:14:18.933031,<class 'torch.nn.modules.activation.Tanh'>,32,100000,0.0001,0.999,0.0001517604047183936,1000,-2.6981769071332735,medium,0.02,256,PRUNED
88,88,766.8837890625,2022-11-16 07:29:04.480821,2022-11-16 08:11:56.179526,0 days 00:42:51.698705,<class 'torch.nn.modules.activation.ELU'>,2048,1000000,0.05,0.99,0.0176135507420601,10000,0.24890066597419147,medium,0.08,32,PRUNED
89,89,-6234.8056640625,2022-11-16 08:11:56.179565,2022-11-16 08:26:09.736677,0 days 00:14:13.557112,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.0001,0.9999,5.691249858370113e-05,20000,0.059625072995681094,big,0.001,4,PRUNED
90,90,2093.60546875,2022-11-16 08:26:09.736677,2022-11-16 08:40:48.916406,0 days 00:14:39.179729,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.995,0.00972487273337477,10000,-0.23964410795946445,medium,0.01,512,PRUNED
91,91,4064.7001953125,2022-11-16 08:40:48.916406,2022-11-16 10:11:26.415327,0 days 01:30:37.498921,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.9,0.0007666348686557302,20000,-0.0887261756445652,medium,0.05,16,COMPLETE
92,92,-799.1390991210938,2022-11-16 10:11:26.415327,2022-11-16 11:41:35.957314,0 days 01:30:09.541987,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.9,0.0004109814645485192,20000,-0.43440036445425184,medium,0.05,16,COMPLETE
93,93,1328.24658203125,2022-11-16 11:41:35.957314,2022-11-16 11:55:49.874706,0 days 00:14:13.917392,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.9,0.0029971728653119625,20000,0.33757907065630355,medium,0.05,16,PRUNED
94,94,2849.42578125,2022-11-16 11:55:49.882774,2022-11-16 12:09:57.286789,0 days 00:14:07.404015,<class 'torch.nn.modules.activation.ReLU'>,128,1000000,0.5,0.9,0.0014455400604338265,20000,-0.11977142345722003,medium,0.05,16,PRUNED
95,95,1990.523681640625,2022-11-16 12:09:57.286844,2022-11-16 12:24:01.502465,0 days 00:14:04.215621,<class 'torch.nn.modules.activation.ReLU'>,16,1000000,0.0001,0.9,0.0011027755816416336,20000,-0.6508813898558721,medium,0.005,512,PRUNED
96,96,1048.243408203125,2022-11-16 12:24:01.510507,2022-11-16 12:40:25.333033,0 days 00:16:23.822526,<class 'torch.nn.modules.activation.Tanh'>,512,10000,0.5,0.95,0.0007198305113644039,1000,-2.9193027968370693,medium,0.05,128,PRUNED
97,97,2995.446044921875,2022-11-16 12:40:25.333033,2022-11-16 12:54:47.326968,0 days 00:14:21.993935,<class 'torch.nn.modules.activation.LeakyReLU'>,64,1000000,0.0001,0.999,0.003919174902105901,0,0.004875724559460032,small,0.08,1,PRUNED
98,98,424.5807800292969,2022-11-16 12:54:47.326998,2022-11-16 13:08:55.117431,0 days 00:14:07.790433,<class 'torch.nn.modules.activation.ReLU'>,128,10000,auto,0.98,0.006724452489374043,20000,-0.9373123081812712,medium,0.01,4,PRUNED
99,99,380.86273193359375,2022-11-16 13:08:55.117431,2022-11-16 13:23:34.212669,0 days 00:14:39.095238,<class 'torch.nn.modules.activation.Tanh'>,64,1000000,0.05,0.9,0.0027812452692362703,10000,0.1716433845590556,big,0.005,16,PRUNED
