train/actor_loss,time/episodes,train/n_updates,time/fps,time/total_timesteps,train/critic_loss,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,rollout/ep_len_mean
,928,,26,89088,,3367,2277.4592,,96.0
-437.2588415145874,932,89728,26,89856,1988.068738937378,3396,2273.103,0.0018832140971657787,96.0
,936,,26,89856,,3396,2273.103,,96.0
-437.5927896499634,940,90496,26,90624,2014.2130031585693,3426,2267.9138,0.0018832140971657787,96.0
,944,,26,90624,,3426,2267.9138,,96.0
-434.78847789764404,948,91264,26,91392,1980.5243759155273,3456,2263.366,0.0018832140971657787,96.0
,952,,26,91392,,3456,2263.366,,96.0
-437.43676376342773,956,92032,26,92160,1992.4245529174805,3485,2256.6392,0.0018832140971657787,96.0
,960,,26,92160,,3486,2256.6392,,96.0
-429.01063346862793,964,92800,26,92928,1986.78910446167,3515,2248.148,0.0018832140971657787,96.0
,968,,26,92928,,3515,2248.148,,96.0
-431.062894821167,972,93568,26,93696,1952.4435348510742,3544,2238.7446,0.0018832140971657787,96.0
,976,,26,93696,,3544,2238.7446,,96.0
-425.6410846710205,980,94336,26,94464,1988.066270828247,3573,2225.3823,0.0018832140971657787,96.0
,984,,26,94464,,3573,2225.3823,,96.0
-416.64515590667725,988,95104,26,95232,1972.7850551605225,3603,2222.8445,0.0018832140971657787,96.0
,992,,26,95232,,3603,2222.8445,,96.0
-418.93738746643066,996,95872,26,96000,1950.1689796447754,3633,2207.8403,0.0018832140971657787,96.0
,1000,,26,96000,,3633,2207.8403,,96.0
-411.09289836883545,1004,96640,26,96768,1934.9854259490967,3663,2194.3672,0.0018832140971657787,96.0
,1008,,26,96768,,3663,2194.3672,,96.0
-413.4712734222412,1012,97408,26,97536,1987.4671154022217,3692,2186.3677,0.0018832140971657787,96.0
,1016,,26,97536,,3692,2186.3677,,96.0
-412.726131439209,1020,98176,26,98304,1933.9972476959229,3722,2186.4915,0.0018832140971657787,96.0
,1024,,26,98304,,3722,2186.4915,,96.0
-412.4635486602783,1028,98944,26,99072,1979.927339553833,3752,2170.8035,0.0018832140971657787,96.0
,1032,,26,99072,,3752,2170.8035,,96.0
-405.0671691894531,1036,99712,26,99840,1915.1365852355957,3781,2157.036,0.0018832140971657787,96.0
,1040,,26,99840,,3781,2157.036,,96.0
-405.13982677459717,1044,100480,26,100608,1926.9985389709473,3810,2145.1416,0.0018832140971657787,96.0
,1048,,26,100608,,3810,2145.1416,,96.0
-403.69172954559326,1052,101248,26,101376,1911.5467681884766,3839,2132.089,0.0018832140971657787,96.0
,1056,,26,101376,,3839,2132.089,,96.0
-401.42180156707764,1060,102016,26,102144,1896.3101921081543,3868,2125.4346,0.0018832140971657787,96.0
,1064,,26,102144,,3868,2125.4346,,96.0
-399.54641914367676,1068,102784,26,102912,1884.187120437622,3897,2101.3767,0.0018832140971657787,96.0
,1072,,26,102912,,3897,2101.3767,,96.0
-396.22877311706543,1076,103552,26,103680,1871.0306797027588,3926,2094.8945,0.0018832140971657787,96.0
,1080,,26,103680,,3926,2094.8945,,96.0
-398.03422260284424,1084,104320,26,104448,1901.7165908813477,3955,2061.2332,0.0018832140971657787,96.0
,1088,,26,104448,,3955,2061.2332,,96.0
-395.6893892288208,1092,105088,26,105216,1891.4744300842285,3984,2049.9094,0.0018832140971657787,96.0
,1096,,26,105216,,3984,2049.9094,,96.0
-390.50676441192627,1100,105856,26,105984,1879.5772819519043,4013,2044.4191,0.0018832140971657787,96.0
,1104,,26,105984,,4013,2044.4191,,96.0
-388.7343225479126,1108,106624,26,106752,1891.9725246429443,4042,2023.7522,0.0018832140971657787,96.0
,1112,,26,106752,,4042,2023.7522,,96.0
-384.85155296325684,1116,107392,26,107520,1859.626947402954,4071,2009.4209,0.0018832140971657787,96.0
,1120,,26,107520,,4071,2009.4209,,96.0
-387.4100103378296,1124,108160,26,108288,1903.2053928375244,4100,1996.5033,0.0018832140971657787,96.0
,1128,,26,108288,,4100,1996.5033,,96.0
-388.5328893661499,1132,108928,26,109056,1919.3636932373047,4129,1992.2042,0.0018832140971657787,96.0
,1136,,26,109056,,4129,1992.2042,,96.0
-384.69068145751953,1140,109696,26,109824,1888.54443359375,4157,1988.5089,0.0018832140971657787,96.0
,1144,,26,109824,,4157,1988.5089,,96.0
-380.61996841430664,1148,110464,26,110592,1887.4278888702393,4186,1980.5674,0.0018832140971657787,96.0
,1152,,26,110592,,4186,1980.5674,,96.0
-380.0702838897705,1156,111232,26,111360,1845.5241432189941,4215,1962.643,0.0018832140971657787,96.0
,1160,,26,111360,,4215,1962.643,,96.0
-380.2465515136719,1164,112000,26,112128,1816.0796546936035,4244,1964.126,0.0018832140971657787,96.0
,1168,,26,112128,,4244,1964.126,,96.0
-380.2486295700073,1172,112768,26,112896,1863.3677577972412,4273,1960.5286,0.0018832140971657787,96.0
,1176,,26,112896,,4273,1960.5286,,96.0
-381.2128620147705,1180,113536,26,113664,1873.1354598999023,4302,1969.7223,0.0018832140971657787,96.0
,1184,,26,113664,,4302,1969.7223,,96.0
-378.27949237823486,1188,114304,26,114432,1828.1750087738037,4332,1969.9608,0.0018832140971657787,96.0
,1192,,26,114432,,4332,1969.9608,,96.0
-375.98654556274414,1196,115072,26,115200,1826.069179534912,4362,1970.3634,0.0018832140971657787,96.0
,1200,,26,115200,,4362,1970.3634,,96.0
-375.8441410064697,1204,115840,26,115968,1801.1823387145996,4393,1976.5227,0.0018832140971657787,96.0
,1208,,26,115968,,4393,1976.5227,,96.0
-378.0805416107178,1212,116608,26,116736,1829.8630237579346,4423,1985.8427,0.0018832140971657787,96.0
,1216,,26,116736,,4423,1985.8427,,96.0
-371.6712255477905,1220,117376,26,117504,1844.4833354949951,4452,1968.754,0.0018832140971657787,96.0
,1224,,26,117504,,4452,1968.754,,96.0
-370.0790557861328,1228,118144,26,118272,1813.1588115692139,4481,1980.1406,0.0018832140971657787,96.0
,1232,,26,118272,,4481,1980.1406,,96.0
-366.5085153579712,1236,118912,26,119040,1843.657033920288,4510,1976.0997,0.0018832140971657787,96.0
,1240,,26,119040,,4510,1976.0997,,96.0
-369.1609706878662,1244,119680,26,119808,1791.8067474365234,4539,1970.7953,0.0018832140971657787,96.0
,1248,,26,119808,,4539,1970.7953,,96.0
-365.1051893234253,1252,120448,26,120576,1803.6399536132812,4568,1959.9281,0.0018832140971657787,96.0
,1256,,26,120576,,4568,1959.9281,,96.0
-368.36337184906006,1260,121216,26,121344,1820.4317436218262,4597,1958.4113,0.0018832140971657787,96.0
,1264,,26,121344,,4597,1958.4113,,96.0
-364.5584535598755,1268,121984,26,122112,1847.4038619995117,4626,1959.52,0.0018832140971657787,96.0
,1272,,26,122112,,4626,1959.52,,96.0
-361.95020294189453,1276,122752,26,122880,1797.2705535888672,4655,1961.6445,0.0018832140971657787,96.0
,1280,,26,122880,,4655,1961.6445,,96.0
-361.0969429016113,1284,123520,26,123648,1837.8688430786133,4684,1948.6401,0.0018832140971657787,96.0
,1288,,26,123648,,4684,1948.6401,,96.0
-355.1034870147705,1292,124288,26,124416,1824.083848953247,4713,1935.6195,0.0018832140971657787,96.0
,1296,,26,124416,,4713,1935.6195,,96.0
-351.21697330474854,1300,125056,26,125184,1779.6991863250732,4742,1934.6245,0.0018832140971657787,96.0
,1304,,26,125184,,4742,1934.6245,,96.0
-353.65193367004395,1308,125824,26,125952,1792.6825580596924,4771,1928.7671,0.0018832140971657787,96.0
,1312,,26,125952,,4771,1928.7671,,96.0
-352.705979347229,1316,126592,26,126720,1822.3397178649902,4800,1919.093,0.0018832140971657787,96.0
,1320,,26,126720,,4800,1919.093,,96.0
-349.1734256744385,1324,127360,26,127488,1823.2986660003662,4829,1921.4052,0.0018832140971657787,96.0
,1328,,26,127488,,4829,1921.4052,,96.0
-343.5299701690674,1332,128128,26,128256,1796.7834205627441,4858,1907.8438,0.0018832140971657787,96.0
,1336,,26,128256,,4858,1907.8438,,96.0
-342.6051778793335,1340,128896,26,129024,1762.1482200622559,4887,1901.0842,0.0018832140971657787,96.0
,1344,,26,129024,,4887,1901.0842,,96.0
-340.7696924209595,1348,129664,26,129792,1802.4743175506592,4916,1900.7762,0.0018832140971657787,96.0
,1352,,26,129792,,4916,1900.7762,,96.0
-337.62185859680176,1356,130432,26,130560,1787.5533123016357,4945,1905.4186,0.0018832140971657787,96.0
,1360,,26,130560,,4945,1905.4186,,96.0
-334.6277141571045,1364,131200,26,131328,1759.887851715088,4974,1907.5067,0.0018832140971657787,96.0
,1368,,26,131328,,4974,1907.5067,,96.0
-333.63389110565186,1372,131968,26,132096,1760.6053295135498,5003,1892.054,0.0018832140971657787,96.0
,1376,,26,132096,,5003,1892.054,,96.0
-326.9466609954834,1380,132736,26,132864,1752.96999168396,5032,1894.2725,0.0018832140971657787,96.0
,1384,,26,132864,,5032,1894.2725,,96.0
-329.7903232574463,1388,133504,26,133632,1725.5882816314697,5061,1912.4762,0.0018832140971657787,96.0
,1392,,26,133632,,5061,1912.4762,,96.0
-326.69088649749756,1396,134272,26,134400,1750.780818939209,5090,1912.8678,0.0018832140971657787,96.0
,1400,,26,134400,,5090,1912.8678,,96.0
-328.0689706802368,1404,135040,26,135168,1734.508020401001,5119,1894.52,0.0018832140971657787,96.0
,1408,,26,135168,,5119,1894.52,,96.0
-324.93194675445557,1412,135808,26,135936,1721.9827938079834,5148,1900.665,0.0018832140971657787,96.0
,1416,,26,135936,,5148,1900.665,,96.0
-326.50712871551514,1420,136576,26,136704,1764.5483055114746,5176,1894.712,0.0018832140971657787,96.0
,1424,,26,136704,,5176,1894.712,,96.0
-327.0391731262207,1428,137344,26,137472,1776.5458240509033,5205,1891.0328,0.0018832140971657787,96.0
,1432,,26,137472,,5205,1891.0328,,96.0
-322.78516578674316,1436,138112,26,138240,1736.063404083252,5234,1882.821,0.0018832140971657787,96.0
,1440,,26,138240,,5234,1882.821,,96.0
-325.23552227020264,1444,138880,26,139008,1758.443099975586,5263,1860.3109,0.0018832140971657787,96.0
,1448,,26,139008,,5263,1860.3109,,96.0
-324.94837760925293,1452,139648,26,139776,1745.404535293579,5292,1842.1066,0.0018832140971657787,96.0
,1456,,26,139776,,5292,1842.1066,,96.0
-318.70019149780273,1460,140416,26,140544,1751.7504997253418,5321,1823.8431,0.0018832140971657787,96.0
,1464,,26,140544,,5321,1823.8431,,96.0
-316.4493217468262,1468,141184,26,141312,1787.3041687011719,5351,1817.1433,0.0018832140971657787,96.0
