,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_log_std_init,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_ortho_init,params_sde_sample_freq,params_vf_coef,state
57,57,-2079.53515625,2022-11-01 16:26:20.514146,2022-11-01 16:59:55.912597,0 days 00:33:35.398451,relu,512,0.2,0.0036337787383272273,0.92,0.95,0.006317288472725592,-3.682408543696771,0.8,10,512,small,True,-1,0.20250885517098602,PRUNED
58,58,-2080.8779296875,2022-11-01 16:59:55.912597,2022-11-01 17:14:00.003849,0 days 00:14:04.091252,relu,512,0.3,0.035599333840703705,0.92,0.9999,0.0020666512866011275,-3.311453239916478,0.8,10,128,big,True,64,0.1644955131637965,PRUNED
59,59,-1147.2869873046875,2022-11-01 17:14:00.003849,2022-11-01 19:53:00.105452,0 days 02:39:00.101603,relu,512,0.2,0.0007054004592918377,0.92,0.99,0.003789873627073384,-2.720995636102812,0.8,10,8,medium,False,128,0.22985542585806112,COMPLETE
60,60,-704.627685546875,2022-11-01 19:53:00.105452,2022-11-01 20:07:41.075089,0 days 00:14:40.969637,relu,16,0.1,0.00593229865619753,0.99,0.9,0.01217128764642826,-1.2074399609475939,0.3,10,256,small,True,256,0.40825916539401885,PRUNED
61,61,-323.85687255859375,2022-11-01 20:07:41.075089,2022-11-01 20:26:09.057706,0 days 00:18:27.982617,leaky_relu,32,0.2,0.002510981403104926,1.0,0.95,0.0004061625872694892,-1.9805217196851828,1.0,20,8,small,True,64,0.07950148325916401,PRUNED
62,62,-369.6285095214844,2022-11-01 20:26:09.057706,2022-11-01 20:44:47.415311,0 days 00:18:38.357605,relu,64,0.2,0.0131935647817981,0.98,0.95,0.0002284145251317241,-2.0919415579135836,0.6,20,8,small,True,64,0.27622156494438943,PRUNED
63,63,-621.6361083984375,2022-11-01 20:44:47.415311,2022-11-01 21:00:45.480331,0 days 00:15:58.065020,leaky_relu,128,0.2,0.000130684298559484,0.92,0.95,0.0014609741972053567,-2.907822523890516,5.0,10,8,small,True,64,0.03680144343234258,PRUNED
64,64,-666.0537719726562,2022-11-01 21:00:45.482366,2022-11-01 22:19:10.434407,0 days 01:18:24.952041,leaky_relu,8,0.2,0.027899144787535825,0.9,0.95,0.02365926873443126,-2.3642208646863114,2.0,5,16,small,True,16,0.1507684855251225,PRUNED
65,65,-1981.8634033203125,2022-11-01 22:19:10.442448,2022-11-01 22:37:32.316680,0 days 00:18:21.874232,tanh,256,0.2,0.05910189607752776,1.0,0.98,0.002713550714657249,-1.4661369739296195,0.5,20,8,small,True,64,0.09674054583947717,PRUNED
66,66,-624.90576171875,2022-11-01 22:37:32.316680,2022-11-01 22:50:53.981786,0 days 00:13:21.665106,elu,512,0.3,0.0007439180381556398,0.98,0.99,2.7515177339494547e-05,-1.7764979307855278,0.3,1,256,small,False,64,0.618968761042701,PRUNED
