,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
90,90,-5813.638671875,2022-11-19 21:35:24.082094,2022-11-19 21:51:02.813237,0 days 00:15:38.731143,<class 'torch.nn.modules.activation.LeakyReLU'>,512,1000000,0.999,0.015267297351885199,medium,0.5958378947242513,ornstein-uhlenbeck,0.08,4,PRUNED
91,91,-1724.8973388671875,2022-11-19 21:51:02.813237,2022-11-19 22:05:25.719709,0 days 00:14:22.906472,<class 'torch.nn.modules.activation.Tanh'>,256,1000000,0.999,0.020759358862933355,medium,0.6331790150108293,ornstein-uhlenbeck,0.005,512,PRUNED
92,92,567.5208740234375,2022-11-19 22:05:25.719709,2022-11-19 22:20:44.465128,0 days 00:15:18.745419,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.98,0.017644057502867648,medium,0.40964125172765775,ornstein-uhlenbeck,0.05,16,PRUNED
93,93,2143.91064453125,2022-11-19 22:20:44.473171,2022-11-19 23:52:50.928099,0 days 01:32:06.454928,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.999,0.011364920058961345,medium,0.5163061141071345,ornstein-uhlenbeck,0.08,16,COMPLETE
94,94,-1575.849365234375,2022-11-19 23:52:50.936139,2022-11-20 00:08:13.035596,0 days 00:15:22.099457,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.95,0.023903932650858335,medium,0.49010300433659065,ornstein-uhlenbeck,0.08,1,PRUNED
95,95,2398.573486328125,2022-11-20 00:08:13.035596,2022-11-20 02:07:37.099318,0 days 01:59:24.063722,<class 'torch.nn.modules.activation.Tanh'>,1024,1000000,0.999,0.0027289325557226466,big,0.5785656519199194,ornstein-uhlenbeck,0.01,256,COMPLETE
96,96,-691.8812255859375,2022-11-20 02:07:37.099318,2022-11-20 02:21:55.996823,0 days 00:14:18.897505,<class 'torch.nn.modules.activation.ReLU'>,32,10000,0.9,0.004013920288375965,medium,0.44521843919141063,ornstein-uhlenbeck,0.001,16,PRUNED
97,97,1791.973388671875,2022-11-20 02:21:56.004862,2022-11-20 02:35:54.716068,0 days 00:13:58.711206,<class 'torch.nn.modules.activation.Tanh'>,100,1000000,0.98,0.007737966892763284,medium,0.2508995743675374,normal,0.08,128,PRUNED
98,98,2813.1015625,2022-11-20 02:35:54.716068,2022-11-20 04:08:14.869462,0 days 01:32:20.153394,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.995,0.0018832140971657787,medium,0.5357016379151338,ornstein-uhlenbeck,0.08,8,COMPLETE
99,99,981.4539794921875,2022-11-20 04:08:14.869462,2022-11-20 04:23:50.803783,0 days 00:15:35.934321,<class 'torch.nn.modules.activation.Tanh'>,512,1000000,0.995,0.0003961098212513709,medium,0.5455771335938956,ornstein-uhlenbeck,0.08,8,PRUNED
