rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/episodes,train/actor_loss,train/n_updates,train/critic_loss,train/learning_rate
411.82147,108288,7237,96.0,14,1124,,,,
411.82147,108288,7237,96.0,14,1128,,,,
414.92065,109056,7345,96.0,14,1132,-22.325952611747198,108544,396.97643995285034,0.0022882963659741056
414.92065,109056,7345,96.0,14,1136,,,,
421.055,109824,7363,96.0,14,1140,,,,
421.055,109824,7363,96.0,14,1144,,,,
424.87454,110592,7382,96.0,14,1148,,,,
424.87454,110592,7382,96.0,14,1152,,,,
423.86743,111360,7490,96.0,14,1156,-21.093146793544292,110592,384.3759005814791,0.0022882963659741056
423.86743,111360,7490,96.0,14,1160,,,,
423.14365,112128,7508,96.0,14,1164,,,,
423.14365,112128,7508,96.0,14,1168,,,,
422.7404,112896,7616,96.0,14,1172,-22.609265135833994,112640,375.73868077993393,0.0022882963659741056
422.7404,112896,7616,96.0,14,1176,,,,
434.15668,113664,7635,96.0,14,1180,,,,
434.15668,113664,7635,96.0,14,1184,,,,
437.92694,114432,7653,96.0,14,1188,,,,
437.92694,114432,7653,96.0,14,1192,,,,
443.00363,115200,7761,96.0,14,1196,-24.777557724621147,114688,364.88312914967537,0.0022882963659741056
443.00363,115200,7761,96.0,14,1200,,,,
429.71704,115968,7780,96.0,14,1204,,,,
429.71704,115968,7780,96.0,14,1208,,,,
437.6266,116736,7798,96.0,14,1212,,,,
437.6266,116736,7798,96.0,14,1216,,,,
435.44937,117504,7906,96.0,14,1220,-27.534061047248542,116736,359.5297749489546,0.0022882963659741056
435.44937,117504,7906,96.0,14,1224,,,,
426.37503,118272,7925,96.0,14,1228,,,,
426.37503,118272,7925,96.0,14,1232,,,,
431.04355,119040,8033,96.0,14,1236,-31.50083130877465,118784,354.8441645950079,0.0022882963659741056
431.04355,119040,8033,96.0,14,1240,,,,
429.70694,119808,8051,96.0,14,1244,,,,
429.70694,119808,8051,96.0,14,1248,,,,
423.5829,120576,8069,96.0,14,1252,,,,
423.5829,120576,8069,96.0,14,1256,,,,
427.66,121344,8178,96.0,14,1260,-33.504669109359384,120832,355.93930567801,0.0022882963659741056
427.66,121344,8178,96.0,14,1264,,,,
428.81903,122112,8196,96.0,14,1268,,,,
428.81903,122112,8196,96.0,14,1272,,,,
423.21802,122880,8215,96.0,14,1276,,,,
423.21802,122880,8215,96.0,14,1280,,,,
427.3013,123648,8323,96.0,14,1284,-33.58131412509829,122880,359.24967953562737,0.0022882963659741056
427.3013,123648,8323,96.0,14,1288,,,,
424.7241,124416,8341,96.0,14,1292,,,,
424.7241,124416,8341,96.0,14,1296,,,,
436.0929,125184,8449,96.0,14,1300,-34.336087660863996,124928,356.87855419516563,0.0022882963659741056
436.0929,125184,8449,96.0,14,1304,,,,
435.9975,125952,8467,96.0,14,1308,,,,
435.9975,125952,8467,96.0,14,1312,,,,
433.41977,126720,8486,96.0,14,1316,,,,
433.41977,126720,8486,96.0,14,1320,,,,
435.77893,127488,8594,96.0,14,1324,-34.49964655004442,126976,355.3163969665766,0.0022882963659741056
435.77893,127488,8594,96.0,14,1328,,,,
434.22992,128256,8612,96.0,14,1332,,,,
434.22992,128256,8612,96.0,14,1336,,,,
434.61578,129024,8630,96.0,14,1340,,,,
434.61578,129024,8630,96.0,14,1344,,,,
434.94394,129792,8738,96.0,14,1348,-33.57258510030806,129024,353.14414931833744,0.0022882963659741056
434.94394,129792,8738,96.0,14,1352,,,,
438.43857,130560,8757,96.0,14,1356,,,,
438.43857,130560,8757,96.0,14,1360,,,,
436.83603,131328,8865,96.0,14,1364,-33.40549596771598,131072,352.464880079031,0.0022882963659741056
436.83603,131328,8865,96.0,14,1368,,,,
433.59012,132096,8883,96.0,14,1372,,,,
433.59012,132096,8883,96.0,14,1376,,,,
437.31686,132864,8902,96.0,14,1380,,,,
437.31686,132864,8902,96.0,14,1384,,,,
439.1839,133632,9010,96.0,14,1388,-34.54271617345512,133120,348.6251092553139,0.0022882963659741056
439.1839,133632,9010,96.0,14,1392,,,,
443.79672,134400,9029,96.0,14,1396,,,,
443.79672,134400,9029,96.0,14,1400,,,,
439.87723,135168,9047,96.0,14,1404,,,,
439.87723,135168,9047,96.0,14,1408,,,,
449.3803,135936,9155,96.0,14,1412,-34.76625302899629,135168,351.8650370836258,0.0022882963659741056
449.3803,135936,9155,96.0,14,1416,,,,
448.67044,136704,9174,96.0,14,1420,,,,
448.67044,136704,9174,96.0,14,1424,,,,
448.34567,137472,9282,96.0,14,1428,-35.5940823815763,137216,350.675794005394,0.0022882963659741056
448.34567,137472,9282,96.0,14,1432,,,,
451.07578,138240,9301,96.0,14,1436,,,,
451.07578,138240,9301,96.0,14,1440,,,,
447.11423,139008,9319,96.0,14,1444,,,,
447.11423,139008,9319,96.0,14,1448,,,,
450.0292,139776,9428,96.0,14,1452,-35.73421828541905,139264,348.99030373990536,0.0022882963659741056
450.0292,139776,9428,96.0,14,1456,,,,
447.1129,140544,9447,96.0,14,1460,,,,
447.1129,140544,9447,96.0,14,1464,,,,
445.09723,141312,9465,96.0,14,1468,,,,
445.09723,141312,9465,96.0,14,1472,,,,
431.2888,142080,9574,96.0,14,1476,-34.84802450425923,141312,347.14818789064884,0.0022882963659741056
431.2888,142080,9574,96.0,14,1480,,,,
424.8991,142848,9592,96.0,14,1484,,,,
424.8991,142848,9592,96.0,14,1488,,,,
427.25098,143616,9701,96.0,14,1492,-35.80910917278379,143360,344.09642642736435,0.0022882963659741056
427.25098,143616,9701,96.0,14,1496,,,,
427.3108,144384,9719,96.0,14,1500,,,,
427.3108,144384,9719,96.0,14,1504,,,,
420.16095,145152,9737,96.0,14,1508,,,,
420.16095,145152,9737,96.0,14,1512,,,,
423.67694,145920,9846,96.0,14,1516,-36.73402971401811,145408,343.1713827252388,0.0022882963659741056
423.67694,145920,9846,96.0,14,1520,,,,
425.22968,146688,9864,96.0,14,1524,,,,
425.22968,146688,9864,96.0,14,1528,,,,
423.82114,147456,9883,96.0,14,1532,,,,
423.82114,147456,9883,96.0,14,1536,,,,
418.82562,148224,9991,96.0,14,1540,-36.93535117805004,147456,343.3714489787817,0.0022882963659741056
418.82562,148224,9991,96.0,14,1544,,,,
420.80368,148992,10010,96.0,14,1548,,,,
420.80368,148992,10010,96.0,14,1552,,,,
422.77817,149760,10119,96.0,14,1556,-37.67907402664423,149504,341.76195661723614,0.0022882963659741056
422.77817,149760,10119,96.0,14,1560,,,,
421.23672,150528,10137,96.0,14,1564,,,,
421.23672,150528,10137,96.0,14,1568,,,,
429.20712,151296,10156,96.0,14,1572,,,,
429.20712,151296,10156,96.0,14,1576,,,,
435.10132,152064,10266,96.0,14,1580,-38.07822568900883,151552,340.716041341424,0.0022882963659741056
435.10132,152064,10266,96.0,14,1584,,,,
433.69962,152832,10284,96.0,14,1588,,,,
433.69962,152832,10284,96.0,14,1592,,,,
431.9046,153600,10303,96.0,14,1596,,,,
431.9046,153600,10303,96.0,14,1600,,,,
427.13043,154368,10413,96.0,14,1604,-37.735085586085916,153600,342.6071080118418,0.0022882963659741056
427.13043,154368,10413,96.0,14,1608,,,,
428.32083,155136,10432,96.0,14,1612,,,,
428.32083,155136,10432,96.0,14,1616,,,,
427.5783,155904,10542,96.0,14,1620,-38.2552232760936,155648,338.5580426156521,0.0022882963659741056
427.5783,155904,10542,96.0,14,1624,,,,
427.65042,156672,10560,96.0,14,1628,,,,
427.65042,156672,10560,96.0,14,1632,,,,
424.1793,157440,10579,96.0,14,1636,,,,
424.1793,157440,10579,96.0,14,1640,,,,
422.49094,158208,10689,96.0,14,1644,-38.9133545383811,157696,339.4059906452894,0.0022882963659741056
422.49094,158208,10689,96.0,14,1648,,,,
422.34293,158976,10708,96.0,14,1652,,,,
422.34293,158976,10708,96.0,14,1656,,,,
429.63174,159744,10727,96.0,14,1660,,,,
429.63174,159744,10727,96.0,14,1664,,,,
433.41116,160512,10838,96.0,14,1668,-38.67555876262486,159744,334.9446227699518,0.0022882963659741056
433.41116,160512,10838,96.0,14,1672,,,,
433.21823,161280,10857,96.0,14,1676,,,,
433.21823,161280,10857,96.0,14,1680,,,,
431.6629,162048,10968,96.0,14,1684,-39.701701167970896,161792,332.17613646388054,0.0022882963659741056
431.6629,162048,10968,96.0,14,1688,,,,
433.51733,162816,10987,96.0,14,1692,,,,
433.51733,162816,10987,96.0,14,1696,,,,
424.13715,163584,11005,96.0,14,1700,,,,
424.13715,163584,11005,96.0,14,1704,,,,
436.76404,164352,11117,96.0,14,1708,-39.622140888124704,163840,333.2241101562977,0.0022882963659741056
436.76404,164352,11117,96.0,14,1712,,,,
422.9385,165120,11136,96.0,14,1716,,,,
422.9385,165120,11136,96.0,14,1720,,,,
424.63504,165888,11154,96.0,14,1724,,,,
424.63504,165888,11154,96.0,14,1728,,,,
418.607,166656,11267,96.0,14,1732,-39.42779313214123,165888,335.38469472527504,0.0022882963659741056
418.607,166656,11267,96.0,14,1736,,,,
427.1836,167424,11285,96.0,14,1740,,,,
427.1836,167424,11285,96.0,14,1744,,,,
432.9282,168192,11398,96.0,14,1748,-39.854481261223555,167936,333.4271182715893,0.0022882963659741056
432.9282,168192,11398,96.0,14,1752,,,,
426.992,168960,11416,96.0,14,1756,,,,
426.992,168960,11416,96.0,14,1760,,,,
426.96417,169728,11434,96.0,14,1764,,,,
426.96417,169728,11434,96.0,14,1768,,,,
427.86163,170496,11546,96.0,14,1772,-40.197475366294384,169984,335.7096636891365,0.0022882963659741056
427.86163,170496,11546,96.0,14,1776,,,,
426.80417,171264,11565,96.0,14,1780,,,,
426.80417,171264,11565,96.0,14,1784,,,,
426.19254,172032,11583,96.0,14,1788,,,,
426.19254,172032,11583,96.0,14,1792,,,,
422.2458,172800,11696,96.0,14,1796,-40.07723576575518,172032,336.60413831472397,0.0022882963659741056
422.2458,172800,11696,96.0,14,1800,,,,
414.06094,173568,11715,96.0,14,1804,,,,
414.06094,173568,11715,96.0,14,1808,,,,
415.32578,174336,11827,96.0,14,1812,-39.984506798908114,174080,337.3553689569235,0.0022882963659741056
415.32578,174336,11827,96.0,14,1816,,,,
420.32297,175104,11846,96.0,14,1820,,,,
420.32297,175104,11846,96.0,14,1824,,,,
431.04224,175872,11864,96.0,14,1828,,,,
431.04224,175872,11864,96.0,14,1832,,,,
440.3644,176640,11976,96.0,14,1836,-39.741791877895594,176128,336.62955491244793,0.0022882963659741056
440.3644,176640,11976,96.0,14,1840,,,,
441.147,177408,11995,96.0,14,1844,,,,
441.147,177408,11995,96.0,14,1848,,,,
450.90448,178176,12013,96.0,14,1852,,,,
450.90448,178176,12013,96.0,14,1856,,,,
445.0268,178944,12126,96.0,14,1860,-38.71692564152181,178176,340.2238926291466,0.0022882963659741056
445.0268,178944,12126,96.0,14,1864,,,,
442.9071,179712,12144,96.0,14,1868,,,,
442.9071,179712,12144,96.0,14,1872,,,,
445.7466,180480,12257,96.0,14,1876,-39.9666205663234,180224,337.02190302312374,0.0022882963659741056
445.7466,180480,12257,96.0,14,1880,,,,
437.19797,181248,12276,96.0,14,1884,,,,
437.19797,181248,12276,96.0,14,1888,,,,
444.87943,182016,12294,96.0,14,1892,,,,
444.87943,182016,12294,96.0,14,1896,,,,
443.9314,182784,12407,96.0,14,1900,-39.70344712212682,182272,337.3286723792553,0.0022882963659741056
443.9314,182784,12407,96.0,14,1904,,,,
446.02347,183552,12425,96.0,14,1908,,,,
446.02347,183552,12425,96.0,14,1912,,,,
444.978,184320,12443,96.0,14,1916,,,,
444.978,184320,12443,96.0,14,1920,,,,
432.0007,185088,12556,96.0,14,1924,-39.600031930953264,184320,338.3843806684017,0.0022882963659741056
432.0007,185088,12556,96.0,14,1928,,,,
424.1553,185856,12575,96.0,14,1932,,,,
