time/time_elapsed,time/fps,time/total_timesteps,time/iterations,train/approx_kl,train/value_loss,train/explained_variance,train/n_updates,train/clip_range,train/loss,train/policy_gradient_loss,train/std,train/clip_fraction,train/entropy_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
12920,37,488384,7631,0.00058790855,6855.17301940918,-0.07272207736968994,38150,0.2,968.7594604492188,-0.004560514353215694,615.4721069335938,0.0,-78.67738265991211,0.0013647642264479798,96.0,2710.1553
12921,37,488448,7632,0.0019908901,2786.772085571289,0.692311704158783,38155,0.2,715.363525390625,-0.006147433305159211,619.111083984375,0.003125,-78.69757804870605,0.0013647642264479798,96.0,2695.0298
12923,37,488512,7633,0.0009691268,2985.187286376953,-0.5518403053283691,38160,0.2,477.53790283203125,-0.0012551184743642807,622.2150268554688,0.0,-78.72394981384278,0.0013647642264479798,96.0,2695.0298
12924,37,488576,7634,0.0010975879,7313.0662292480465,-0.13961970806121826,38165,0.2,2152.962158203125,-0.002334970165975392,621.5556030273438,0.003125,-78.79030342102051,0.0013647642264479798,96.0,2695.0298
12926,37,488640,7635,8.4131956e-05,54531.73349609375,0.11632007360458374,38170,0.2,12901.9951171875,-0.000899942871183157,620.9678344726562,0.0,-78.79391021728516,0.0013647642264479798,96.0,2695.0298
12928,37,488704,7636,6.1998144e-06,48470.2220703125,0.3500259518623352,38175,0.2,11791.109375,8.648904040455818e-05,621.0220336914062,0.0,-78.79112243652344,0.0013647642264479798,96.0,2695.0298
12929,37,488768,7637,0.00013374072,29927.515966796876,0.7961316704750061,38180,0.2,14116.61328125,-0.0026877207681536676,622.109375,0.0,-78.79317283630371,0.0013647642264479798,96.0,2695.0298
12931,37,488832,7638,5.7505444e-05,24210.5396484375,0.8801025077700615,38185,0.2,2512.90478515625,0.0007883026264607906,623.42626953125,0.0,-78.80362663269042,0.0013647642264479798,96.0,2695.0298
12933,37,488896,7639,2.6463531e-05,51761.00810546875,0.8403120636940002,38190,0.2,15361.1728515625,-0.0007619946263730526,623.7739868164062,0.0,-78.80909690856933,0.0013647642264479798,96.0,2695.0298
12934,37,488960,7640,4.1731633e-05,18338.638122558594,0.9403271824121475,38195,0.2,3866.35791015625,-0.0013241271954029799,622.9170532226562,0.0,-78.80734062194824,0.0013647642264479798,96.0,2695.0298
12936,37,489024,7641,0.00022714306,21724.63701171875,0.8858569860458374,38200,0.2,3640.410888671875,-0.0027256669476628304,621.8241577148438,0.0,-78.79150695800782,0.0013647642264479798,96.0,2695.0298
12938,37,489088,7642,3.788434e-05,12760.936779785156,0.9077003449201584,38205,0.2,2040.6766357421875,-0.0002593770273961127,622.2892456054688,0.0,-78.78219375610351,0.0013647642264479798,96.0,2695.0298
12939,37,489152,7643,0.00020466466,17013.048950195312,0.6633051037788391,38210,0.2,1439.8453369140625,-0.002037376072257757,623.25244140625,0.0,-78.79204483032227,0.0013647642264479798,96.0,2695.0298
12941,37,489216,7644,0.0019507315,4824.905078125,0.1463838815689087,38215,0.2,726.2940063476562,-0.006270033679902554,621.594482421875,0.00625,-78.79673843383789,0.0013647642264479798,96.0,2648.876
12943,37,489280,7645,0.0009655757,3566.2719177246095,-0.3111170530319214,38220,0.2,509.1647033691406,-0.0036232689395546912,624.6290283203125,0.0,-78.7890193939209,0.0013647642264479798,96.0,2648.876
12944,37,489344,7646,0.000839035,6921.157800292969,-0.24331247806549072,38225,0.2,1363.359130859375,-0.005707507021725178,628.795166015625,0.0,-78.81024932861328,0.0013647642264479798,96.0,2648.876
12946,37,489408,7647,0.00018679071,37261.8939453125,0.37438124418258667,38230,0.2,6377.0126953125,0.0004103954415768385,630.192138671875,0.0,-78.82231140136719,0.0013647642264479798,96.0,2648.876
12948,37,489472,7648,0.000112220645,46718.760546875,0.3683508038520813,38235,0.2,14111.70703125,-0.002784721367061138,631.237548828125,0.0,-78.82750282287597,0.0013647642264479798,96.0,2648.876
12949,37,489536,7649,3.0471012e-05,24025.43837890625,0.6080387234687805,38240,0.2,3592.154541015625,-0.000217256648465991,631.463623046875,0.0,-78.83646812438965,0.0013647642264479798,96.0,2648.876
12951,37,489600,7650,2.3581088e-05,44084.51455078125,0.4546797275543213,38245,0.2,11842.4521484375,-0.0007495047524571419,631.3740234375,0.0,-78.8373950958252,0.0013647642264479798,96.0,2648.876
12953,37,489664,7651,2.9753894e-05,56285.304296875,0.7227717936038971,38250,0.2,9104.3291015625,-0.0012946088332682847,631.4212036132812,0.0,-78.8313720703125,0.0013647642264479798,96.0,2648.876
12955,37,489728,7652,3.252458e-05,35627.24790039063,0.8291719555854797,38255,0.2,6053.5517578125,-0.0010748468805104495,631.5424194335938,0.0,-78.82460746765136,0.0013647642264479798,96.0,2648.876
12956,37,489792,7653,0.0002011219,20941.865795898437,0.9131391867995262,38260,0.2,2319.816162109375,-0.0031527447979897262,630.7365112304688,0.0,-78.82372817993163,0.0013647642264479798,96.0,2648.876
12958,37,489856,7654,6.572064e-05,54509.28330078125,0.7386375665664673,38265,0.2,4407.662109375,-0.00030076405964791776,629.800537109375,0.0,-78.81836204528808,0.0013647642264479798,96.0,2648.876
12960,37,489920,7655,0.00039730035,20128.047900390626,0.4538818597793579,38270,0.2,1197.5225830078125,-0.004032121296040714,630.17138671875,0.0,-78.81036720275878,0.0013647642264479798,96.0,2648.876
12961,37,489984,7656,0.00015914813,47046.67454833984,0.7196727693080902,38275,0.2,960.3799438476562,-0.00046632247976958753,630.935302734375,0.0,-78.8146255493164,0.0013647642264479798,96.0,2639.1643
12963,37,490048,7657,3.973022e-05,60029.05288085937,-6.204233646392822,38280,0.2,10540.8251953125,-0.00010294243693351746,632.0777587890625,0.0,-78.81746940612793,0.0013647642264479798,96.0,2639.1643
12965,37,490112,7658,0.0009336304,7959.6346435546875,-0.23698878288269043,38285,0.2,1727.5347900390625,-0.006143662799149752,637.9140625,0.003125,-78.83589973449708,0.0013647642264479798,96.0,2639.1643
12966,37,490176,7659,0.0003496688,41057.09267578125,0.5129064619541168,38290,0.2,11798.1015625,-0.0009159333072602749,642.4977416992188,0.0,-78.86731338500977,0.0013647642264479798,96.0,2639.1643
12968,37,490240,7660,2.0733103e-05,33715.40588378906,0.5860786736011505,38295,0.2,6508.4326171875,-0.0006864246912300587,643.310791015625,0.0,-78.87820053100586,0.0013647642264479798,96.0,2639.1643
12970,37,490304,7661,2.5618821e-05,44570.2490234375,0.7036727964878082,38300,0.2,5205.4755859375,-0.0005961726419627666,643.2909545898438,0.0,-78.8741512298584,0.0013647642264479798,96.0,2639.1643
12971,37,490368,7662,3.1578355e-05,48526.70712890625,0.7097611427307129,38305,0.2,8653.232421875,-0.0010390911251306535,643.1561889648438,0.0,-78.87419357299805,0.0013647642264479798,96.0,2639.1643
12973,37,490432,7663,4.8128888e-05,34199.068041992185,0.7764324396848679,38310,0.2,5377.76123046875,-0.001416720449924469,643.0364990234375,0.0,-78.88113288879394,0.0013647642264479798,96.0,2639.1643
